PLAYERS,LEAGUE,POSITION,TEAM,MATCHES_PLAYED,MINUTES_PLAYED,DISTANCE_COVERED,DISTANCE_COVERED_IN_POSSESSION,DISTANCE_COVERED_NOT_IN_POSSESSION,TOP_SPEED,TOTAL_GOALS_SCORED,OFFSIDES,SOLO_RUNS_INTO_AREA,LOST_BALLS,DELIVERIES_IN_PENALTY_AREA,TACKLES,TACKLES_SUFFERED,TACKLES_WON,ATTEMPTED_CLEARANCES,CLEARANCE_RATE,SAVES,BLOCKS,RECOVERED_BALLS,YELLOW_CARDS,SECOND_YELLOW_CARD_AND_RED_CARD,RED_CARDS,FOULS_COMMITTED,FOULS_SUFFERED,FOULS_CAUSING_A_PENALTY,ASSISTS,PENALTIES_SCORED,GOALS_SCORED_WITH_THE_LEFT_FOOT,GOALS_SCORED_WITH_THE_RIGHT_FOOT,HEADED_GOALS,SHOTS,ATTEMPTS_ON_TARGET,ATTEMPTS_OFF-TARGET,WOODWORK,TOTAL_PASSES,PASSES_COMPLETED,PASSES_COMPLETED_PERCENT,CROSSES,CROSSES_COMPLETED,CROSSES_COMPLETED_PERCENT,CORNERS,THROW-INS,THROW-INS_COMPLETED
Valon BEHRAMI,WC Players,M,Switzerland,4,346,41.8,12.7,17.8,31.2,,,,,,,,7,1,1,0,2,22,0,0,0,8,5,0,,,,,,1,1,0,0,173,141,0.82,0,0,,0,0,0
Andres GUARDADO,WC Players,D,Mexico,4,333,41.5,13.9,15.1,30.9,1,0,0,24,5,3,10,1,3,0.34,0,1,10,1,0,0,7,6,0,0,0,1,0,0,6,3,3,0,149,107,0.72,14,3,0.21,6,0,0
Miguel LAYUN,WC Players,D,Mexico,4,360,41.5,13.5,15.4,29.8,,,,,,,,1,5,0.8,0,0,15,0,0,0,1,3,0,,,,,,7,2,5,0,150,101,0.67,13,4,0.31,2,15,9
Raphael VARANE,WC Players,D,France,5,389,41.3,13.6,14.7,32.3,,,,,,,,2,8,0.88,0,5,23,0,0,0,0,1,0,,,,,,1,1,0,0,198,172,0.87,2,0,,0,2,2
Ricardo RODRIGUEZ,WC Players,D,Switzerland,4,390,41.3,14,16.5,30.5,,,,,,,,5,14,0.72,0,3,33,0,0,0,3,5,0,,,,,,3,2,1,0,209,159,0.76,16,4,0.25,5,26,13
Jose CHOLEVAS,WC Players,D,Greece,4,390,41.3,13.1,14.4,30.5,,,,,,,,2,7,0.86,0,0,18,0,0,0,8,6,0,,,,,,3,2,1,1,191,139,0.73,32,7,0.22,6,20,12
Federico FERNANDEZ,WC Players,D,Argentina,4,390,41.2,16,12.9,28.7,,,,,,,,3,9,0.78,0,4,27,0,0,0,4,8,0,,,,,,3,2,1,0,235,205,0.87,0,0,,0,1,1
Paul POGBA,WC Players,M,France,5,354,41.2,15.2,14.2,30.5,1,0,1,34,5,4,3,0,2,0.5,0,0,9,1,0,0,6,10,0,1,0,0,0,1,10,7,3,0,246,197,0.8,6,1,0.17,0,1,0
HULK,WC Players,F,Brazil,6,397,41.2,15.3,13.2,30.3,,,,,,,,0,4,0.75,0,0,8,1,0,0,8,14,0,,,,,,15,8,7,0,140,81,0.58,15,4,0.27,4,4,2
Georgios SAMARAS,WC Players,F,Greece,4,390,41.1,14,13.5,31,1,2,4,34,2,12,23,4,0,,0,0,8,1,0,0,7,21,0,1,1,0,1,0,7,3,4,0,134,93,0.69,9,1,0.11,0,4,1
Vasileios TOROSIDIS,WC Players,D,Greece,4,390,40.9,13.2,14.3,29.8,,,,,,,,4,7,0.86,0,2,20,1,0,0,6,6,0,,,,,,5,1,4,1,193,128,0.66,28,3,0.11,0,28,20
Granit XHAKA,WC Players,F,Switzerland,4,323,40.6,14.4,14.9,27.9,1,1,0,36,1,7,4,1,0,,0,1,3,1,0,0,7,3,0,0,0,1,0,0,11,6,5,0,157,122,0.78,4,0,,2,2,1
Admir MEHMEDI,WC Players,F,Switzerland,4,337,40.3,13.4,15.5,31.6,1,1,3,40,5,3,22,1,1,,0,2,13,0,0,0,3,7,0,0,0,0,0,1,5,4,1,0,174,118,0.68,6,0,,1,11,10
Rafik HALLICHE,WC Players,D,Algeria,4,367,40.1,11.3,16.6,27,1,0,0,30,1,5,0,1,20,0.8,0,1,22,1,0,0,4,0,0,0,0,0,0,1,2,2,0,0,159,119,0.75,1,1,1,0,0,0
Alexis SANCHEZ,WC Players,F,Chile,4,390,40,14.8,12.7,31.1,2,2,6,44,11,3,34,1,0,,0,0,12,0,0,0,7,24,0,1,0,0,2,0,7,4,3,0,177,108,0.61,20,6,0.3,10,0,0
Mathieu DEBUCHY,WC Players,D,France,4,360,39.9,14.3,14.5,29.4,,,,,,,,5,4,0.75,0,2,25,0,0,0,8,4,0,,,,,,4,2,2,0,223,167,0.75,16,1,0.06,0,52,36
Egidio AREVALO,WC Players,M,Uruguay,4,360,39.8,11.1,15.1,27.8,,,,,,,,3,6,0.84,0,0,25,1,0,0,8,6,0,,,,,,2,2,0,0,164,137,0.84,1,0,,0,0,0
Paul AGUILAR,WC Players,D,Mexico,4,360,39.7,12.8,14.4,31.1,,,,,,,,4,5,0.2,0,0,17,2,0,0,7,8,0,,,,,,1,1,0,0,171,116,0.68,9,2,0.22,0,31,14
John Obi MIKEL,WC Players,M,Nigeria,4,360,39.5,13.9,14.6,28.5,,,,,,,,3,6,1,0,2,17,1,0,0,11,7,0,,,,,,3,2,1,0,263,202,0.77,3,1,0.33,1,1,1
Ioannis MANIATIS,WC Players,D,Greece,4,348,39.4,11.9,15.5,30.2,,,,,,,,2,5,0.2,0,2,13,0,0,0,5,6,0,,,,,,2,2,0,0,183,148,0.81,1,1,1,0,4,3
Gary MEDEL,WC Players,D,Chile,4,378,39.3,13.8,13.2,28.9,,,,,,,,4,22,0.96,0,2,36,0,0,0,3,7,0,,,,,,1,0,1,0,309,281,0.91,1,1,1,0,2,2
Joel CAMPBELL,WC Players,F,Costa Rica,5,415,39.3,12.4,14,31.1,1,7,3,44,7,6,15,2,0,,0,0,7,0,0,0,9,20,0,1,0,1,0,0,5,1,4,0,135,91,0.67,5,1,0.2,4,0,0
