PLAYERS,LEAGUE,POSITION,TEAM,MATCHES_PLAYED,MINUTES_PLAYED,DISTANCE_COVERED,DISTANCE_COVERED_IN_POSSESSION,DISTANCE_COVERED_NOT_IN_POSSESSION,TOP_SPEED,TOTAL_GOALS_SCORED,OFFSIDES,SOLO_RUNS_INTO_AREA,LOST_BALLS,DELIVERIES_IN_PENALTY_AREA,TACKLES,TACKLES_SUFFERED,TACKLES_WON,ATTEMPTED_CLEARANCES,CLEARANCE_RATE,SAVES,BLOCKS,RECOVERED_BALLS,YELLOW_CARDS,SECOND_YELLOW_CARD_AND_RED_CARD,RED_CARDS,FOULS_COMMITTED,FOULS_SUFFERED,FOULS_CAUSING_A_PENALTY,ASSISTS,PENALTIES_SCORED,GOALS_SCORED_WITH_THE_LEFT_FOOT,GOALS_SCORED_WITH_THE_RIGHT_FOOT,HEADED_GOALS,SHOTS,ATTEMPTS_ON_TARGET,ATTEMPTS_OFF-TARGET,WOODWORK,TOTAL_PASSES,PASSES_COMPLETED,PASSES_COMPLETED_PERCENT,CROSSES,CROSSES_COMPLETED,CROSSES_COMPLETED_PERCENT,CORNERS,THROW-INS,THROW-INS_COMPLETED
HERNANES,WC Players,M,Brazil,3,64,8.7,2.9,2.7,29.7,,,,,,,,0,0,,0,0,2,0,0,0,4,2,0,,,,,,,,,,34,22,0.65,3,1,0.33,0,0,0
Fatawu DAUDA,WC Players,G,Ghana,2,180,8.4,2.5,3.3,23.9,,,,,,,,0,3,0.67,8,0,0,0,0,0,0,1,0,,,,,,,,,,62,34,0.55,0,0,,0,20,9
Igor DENISOV,WC Players,M,Russia,2,62,8.4,3.2,2.9,23.9,,,,,,,,0,0,,0,0,7,0,0,0,1,2,0,,,,,,2,2,0,0,60,56,0.93,0,0,,0,2,2
Andy NAJAR,WC Players,M,Honduras,2,71,8.4,2.7,3.7,31.6,,,,,,,,,,,,,,0,0,0,0,2,0,,,,,,1,1,0,0,23,15,0.65,3,0,,2,0,0
Yury ZHIRKOV,WC Players,M,Russia,1,71,8.4,2.8,3.3,28.7,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,26,18,0.69,1,0,,0,1,1
Philippe SENDEROS,WC Players,D,Switzerland,1,81,8.3,3.1,2.7,25.5,,,,,,,,1,1,1,0,1,5,,,,,,,,,,,,,,,,64,57,0.89,0,0,,0,0,0
Kolo TOURE,WC Players,D,Ivory Coast,1,90,8.3,2.7,2.9,28.3,,,,,,,,0,6,0.67,0,0,3,0,0,0,2,1,0,,,,,,1,0,1,0,44,36,0.82,0,0,,0,0,0
Andre ALMEIDA,WC Players,D,Portugal,2,71,8.2,3.2,3.3,31.6,,,,,,,,1,1,,0,1,4,,,,,,,,,,,,,,,,43,36,0.84,2,0,,0,7,4
SAMMIR,WC Players,M,Croatia,1,72,8.2,2.9,2.4,30.9,,,,,,,,0,0,,0,0,1,0,0,0,2,1,0,,,,,,2,1,1,0,30,23,0.77,0,0,,0,1,1
Jean BEAUSEJOUR,WC Players,F,Chile,2,66,8.1,3.1,2.5,29.1,1,0,0,8,0,0,1,,,,,,,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,26,13,0.5,5,0,,0,0,0
Gelson FERNANDES,WC Players,M,Switzerland,1,54,8.1,2.4,3.3,28.5,,,,,,,,1,1,1,0,0,4,1,0,0,2,0,0,,,,,,,,,,22,17,0.77,0,0,,0,0,0
Majeed WARIS,WC Players,F,Ghana,1,71,8.1,2.8,2.9,30.3,,,,,,,,0,0,,0,1,3,1,0,0,3,3,0,,,,,,1,0,1,0,26,14,0.54,3,1,0.33,0,0,0
Joe HART,WC Players,G,England,2,180,8.1,2.8,2.8,24.1,,,,,,,,0,2,1,4,0,0,,,,,,,,,,,,,,,,47,40,0.85,0,0,,0,14,7
Marco PAROLO,WC Players,M,Italy,2,55,8.1,3,2.8,28.8,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,1,1,0,0,30,18,0.6,0,0,,0,0,0
Chris WONDOLOWSKI,WC Players,F,USA,2,51,8,3.1,2.4,24.1,,,,,,,,0,0,,0,0,1,0,0,0,1,1,0,,,,,,1,0,1,0,22,18,0.82,1,0,,0,0,0
Gaston RAMIREZ,WC Players,M,Uruguay,2,49,7.9,2.7,2.4,31.4,,,,,,,,0,0,,0,0,4,0,0,0,3,1,0,,,,,,1,1,0,0,48,37,0.77,4,3,0.75,4,1,1
Anel HADZIC,WC Players,M,Bosnia-Hercegovina,1,61,7.9,3.8,2,29.1,,,,,,,,0,2,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,37,29,0.78,1,0,,0,0,0
Max GRADEL,WC Players,M,Ivory Coast,1,67,7.7,3.1,2.6,28,,,,,,,,,,,,,,0,0,0,2,2,0,,,,,,1,1,0,0,26,15,0.58,5,1,0.2,2,0,0
Brad DAVIS,WC Players,M,USA,1,59,7.7,2.4,3.5,28.3,,,,,,,,0,0,,0,0,2,0,0,0,1,0,0,,,,,,,,,,24,19,0.79,0,0,,0,2,2
Shola AMEOBI,WC Players,F,Nigeria,2,63,7.7,2.9,2.3,24.9,,,,,,,,0,0,,0,0,0,0,0,0,2,1,0,,,,,,2,2,0,0,21,14,0.67,0,0,,0,0,0
Maxi RODRIGUEZ,WC Players,M,Argentina,2,65,7.6,2.9,3.1,25,,,,,,,,0,0,,0,0,5,,,,,,,,,,,,2,1,1,0,38,32,0.84,1,0,,1,1,0
Samuel ETOO,WC Players,F,Cameroon,1,90,7.5,2.4,2.5,28.8,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,2,0,2,1,20,14,0.7,0,0,,0,0,0
JUNG Sungryong,WC Players,G,South Korea,2,180,7.4,2.5,2.1,13.4,,,,,,,,0,3,0.34,5,0,0,0,0,0,0,1,0,,,,,,,,,,38,22,0.58,0,0,,0,17,9
Klaas Jan HUNTELAAR,WC Players,F,Netherlands,3,52,7.4,2.9,2,27.2,1,1,0,4,0,1,0,0,0,,0,0,2,2,0,0,3,0,0,1,1,0,1,0,1,1,0,0,23,19,0.83,0,0,,0,0,0
Toshihiro AOYAMA,WC Players,M,Japan,1,62,7.3,2.9,2.5,25.2,,,,,,,,0,0,,0,1,2,0,0,0,2,0,0,,,,,,1,1,0,0,40,25,0.63,1,0,,0,0,0
Alireza JAHAN BAKHSH,WC Players,M,Iran,3,49,7.3,2,2.9,30,,,,,,,,0,0,,0,0,0,0,0,0,0,1,0,,,,,,1,1,0,0,25,14,0.56,2,0,,0,0,0
Boubacar BARRY,WC Players,G,Ivory Coast,3,270,7.2,2.1,2.3,28.1,,,,,,,,0,4,0.75,8,0,0,0,0,0,0,1,0,,,,,,,,,,79,58,0.73,0,0,,0,25,9
Blerim DZEMAILI,WC Players,M,Switzerland,3,54,7,2.6,2.1,28.3,1,0,0,10,0,2,1,1,1,1,0,0,2,0,0,0,3,1,0,0,0,0,1,0,4,1,3,1,50,43,0.86,0,0,,0,0,0
Adam TAGGART,WC Players,F,Australia,2,59,6.9,2.3,2.9,25.8,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,9,4,0.44,1,0,,0,0,0
VARELA,WC Players,F,Portugal,2,50,6.9,2.8,2,27.4,1,0,0,6,2,0,0,,,,,,,0,0,0,1,1,0,0,0,0,0,1,3,2,1,0,27,20,0.74,2,0,,0,1,1
Fabio COENTRAO,WC Players,D,Portugal,1,65,6.7,2.2,2.8,32.2,,,,,,,,1,0,,0,0,5,0,0,0,1,0,0,,,,,,,,,,36,30,0.83,4,0,,0,5,0
Paul VERHAEGH,WC Players,D,Netherlands,1,56,6.7,2.5,2.6,23.9,,,,,,,,0,0,,0,0,2,0,0,0,1,1,0,,,,,,,,,,32,27,0.84,0,0,,0,3,2
James TROISI,WC Players,M,Australia,2,41,6.7,2.1,3,27.6,,,,,,,,1,0,,0,0,4,0,0,0,1,1,0,,,,,,1,0,1,0,32,20,0.63,0,0,,1,1,1
Walter GARGANO,WC Players,M,Uruguay,1,60,6.7,2.1,2.2,26.7,,,,,,,,,,,,,,1,0,0,2,0,0,,,,,,,,,,45,36,0.8,0,0,,0,0,0
Adnan JANUZAJ,WC Players,M,Belgium,1,60,6.6,2.1,2.4,31.1,,,,,,,,0,0,,0,0,1,0,0,0,1,2,0,,,,,,,,,,26,14,0.54,0,0,,0,1,1
Lukas PODOLSKI,WC Players,F,Germany,2,54,6.6,2.8,2.4,24.1,,,,,,,,1,0,,0,0,3,0,0,0,0,1,0,,,,,,2,0,2,0,36,30,0.83,3,0,,0,0,0
Antonio CASSANO,WC Players,F,Italy,2,63,6.5,2.8,1.9,29.8,,,,,,,,,,,,,,0,0,0,0,3,0,,,,,,2,1,1,0,39,23,0.59,4,0,,1,0,0
Christoph KRAMER,WC Players,M,Germany,3,43,6.5,2.9,2.2,28.7,,,,,,,,0,0,,0,0,2,0,0,0,1,0,0,,,,,,1,1,0,0,24,18,0.75,0,0,,0,1,1
Marco FABIAN,WC Players,M,Mexico,3,41,6.3,2.1,2.3,31.8,,,,,,,,,,,,,,0,0,0,1,1,0,,,,,,1,1,0,0,28,23,0.82,0,0,,0,0,0
Iker CASILLAS,WC Players,G,Spain,2,180,6.2,2.2,2.3,23.9,,,,,,,,0,2,1,7,0,0,1,0,0,0,0,0,,,,,,,,,,42,35,0.83,0,0,,0,7,4
Pierre WEBO,WC Players,G,Cameroon,3,49,6.2,2,2.1,24.3,,,,,,,,0,0,,0,0,2,0,0,0,1,0,0,,,,,,2,1,1,1,21,10,0.48,0,0,,0,0,0
Mauricio PINILLA,WC Players,F,Chile,3,44,6.1,2.1,1.7,28.1,,,,,,,,0,2,,0,0,1,1,0,0,2,1,0,,,,,,4,2,2,1,26,13,0.5,0,0,,0,0,0
Sejad SALIHOVIC,WC Players,M,Bosnia-Hercegovina,2,43,6,2.3,2,25,,,,,,,,0,1,1,0,0,3,0,0,0,0,1,0,,,,,,,,,,33,18,0.55,7,0,,0,0,0
Ante REBIC,WC Players,F,Croatia,3,44,5.9,2.2,1.8,29.8,,,,,,,,,,,,,,0,0,1,3,0,0,,,,,,2,2,0,0,20,12,0.6,0,0,,0,0,0
Edgar SALLI,WC Players,M,Cameroon,2,47,5.9,2.1,2,31.2,,,,,,,,0,0,,0,0,2,1,0,0,2,2,0,,,,,,,,,,30,18,0.6,4,1,0.25,1,2,1
Ivan FRANJIC,WC Players,D,Australia,1,49,5.8,1.4,3.1,26.1,,,,,,,,1,0,,0,1,2,0,0,0,0,1,0,,,,,,,,,,26,18,0.69,3,1,0.33,0,4,0
David VILLA,WC Players,F,Spain,1,56,5.8,2.6,1.8,31.2,1,3,1,9,4,1,2,1,0,,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,23,15,0.65,1,0,,0,0,0
Jerry PALACIOS,WC Players,F,Honduras,1,50,5.7,2.5,1.7,27.4,,,,,,,,,,,,,,1,0,0,1,1,0,,,,,,1,0,1,0,15,12,0.8,1,0,,0,0,0
Valentin STOCKER,WC Players,M,Switzerland,1,46,5.7,2.4,1.7,22.7,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,1,0,1,0,12,9,0.75,0,0,,0,0,0
Nabil GHILAS,WC Players,F,Algeria,3,36,5.6,1.3,2.2,29.4,,,,,,,,0,3,1,0,0,2,1,0,0,2,0,0,,,,,,1,0,1,0,15,10,0.67,0,0,,0,0,0
Rui PATRICIO,WC Players,G,Portugal,1,90,5.6,1.9,2.1,21.7,,,,,,,,0,0,,2,0,0,,,,,,,,,,,,,,,,29,20,0.69,0,0,,0,6,0
Dave MYRIE,WC Players,D,Costa Rica,1,41,5.5,1.3,2.4,25.6,,,,,,,,0,0,,0,0,3,0,0,0,0,1,0,,,,,,,,,,10,7,0.7,0,0,,0,1,1
Marvin CHAVEZ,WC Players,M,Honduras,2,51,5.5,2.2,1.8,28.5,,,,,,,,,,,,,,0,0,0,3,2,0,,,,,,,,,,36,22,0.61,7,1,0.14,2,1,1
Carlos CARBONERO,WC Players,M,Colombia,1,44,5.5,2.1,2,27.4,,,,,,,,2,0,,0,0,1,0,0,0,2,2,0,,,,,,1,0,1,0,28,16,0.57,0,0,,0,1,0
Cesc FABREGAS,WC Players,M,Spain,2,34,5.4,2.5,1.7,29.8,,,,,,,,1,1,1,0,0,3,0,0,0,1,0,0,,,,,,,,,,44,36,0.82,2,1,0.5,3,0,0
Steven DEFOUR,WC Players,M,Belgium,1,45,5.3,2,1.7,26.5,,,,,,,,0,0,,0,0,2,0,0,1,2,1,0,,,,,,,,,,29,23,0.79,0,0,,0,0,0
Hugo CAMPAGNARO,WC Players,D,Argentina,1,46,5.1,2,2,23.3,,,,,,,,,,,,,,0,0,0,0,2,0,,,,,,,,,,36,34,0.94,0,0,,0,2,0
Cedric DJEUGOUE,WC Players,D,Cameroon,1,46,5,1.1,2.1,28.1,,,,,,,,0,0,,0,0,2,,,,,,,,,,,,,,,,15,9,0.6,1,0,,0,2,0
Diego REYES,WC Players,D,Mexico,1,44,5,1.3,2,24.5,,,,,,,,0,6,0.84,0,1,1,,,,,,,,,,,,,,,,12,10,0.83,0,0,,0,0,0
John BROOKS,WC Players,D,USA,1,44,5,1.4,2,26.9,1,0,0,3,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,19,11,0.58,0,0,,0,0,0
KIM Bokyung,WC Players,M,South Korea,2,30,5,1.9,1.7,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,27,0.87,2,2,1,0,0,0
JI Dongwon,WC Players,F,South Korea,2,29,4.9,2.1,1.4,28.5,,,,,,,,,,,,,,0,0,0,2,0,0,,,,,,2,1,1,0,18,12,0.67,1,1,1,0,0,0
Pepe REINA,WC Players,G,Spain,1,90,4.8,2.1,1.6,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,22,0.79,0,0,,0,8,7
Loic REMY,WC Players,F,France,2,28,4.7,1.8,1.5,30.1,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,1,1,0,0,21,16,0.76,2,1,0.5,0,0,0
Lorenzo INSIGNE,WC Players,F,Italy,1,33,4.6,2.2,1.2,25.6,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,21,13,0.62,0,0,,0,0,0
Abel HERNANDEZ,WC Players,F,Uruguay,2,37,4.6,1.4,0.9,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0.67,0,0,,0,0,0
Juan MATA,WC Players,M,Spain,1,34,4.5,2.1,1.3,31.1,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,34,31,0.91,1,1,1,1,0,0
Osman CHAVEZ,WC Players,D,Honduras,1,44,4.5,0.9,2.4,26.4,,,,,,,,0,0,,0,2,2,0,0,0,0,1,0,,,,,,,,,,10,10,1,0,0,,0,1,0
Adam KWARASEY,WC Players,G,Ghana,1,90,4.4,1.5,1.2,16.9,,,,,,,,0,0,,4,0,0,,,,,,,,,,,,,,,,27,22,0.81,0,0,,0,6,0
Marcelo BROZOVIC,WC Players,M,Croatia,1,29,4.4,1.6,1.5,28.3,,,,,,,,1,0,,0,0,2,0,0,0,1,0,0,,,,,,2,1,1,0,21,13,0.62,0,0,,0,0,0
Mubarak WAKASO,WC Players,M,Ghana,2,27,4.4,1.2,1.8,25.2,,,,,,,,0,0,,0,0,1,0,0,0,2,1,0,,,,,,2,0,2,0,15,11,0.73,2,1,0.5,1,0,0
Javier AQUINO,WC Players,M,Mexico,1,29,4.3,1.3,1.6,27.6,,,,,,,,1,0,,0,0,2,0,0,0,0,1,0,,,,,,1,1,0,0,13,10,0.77,1,0,,0,0,0
Ben FOSTER,WC Players,G,England,1,90,4.2,1.5,1.4,21.1,,,,,,,,0,0,,2,0,0,0,0,0,0,1,0,,,,,,,,,,29,23,0.79,0,0,,0,4,1
Edin VISCA,WC Players,F,Bosnia-Hercegovina,2,25,4.1,1.6,1.5,25.2,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,3,2,1,0,12,5,0.42,2,0,,0,0,0
Salvatore SIRIGU,WC Players,G,Italy,1,90,4,1.6,1.6,20.6,,,,,,,,0,0,,4,0,0,,,,,,,,,,,,,,,,37,34,0.92,0,0,,0,17,0
KIM Seunggyu,WC Players,G,South Korea,1,90,3.9,1.2,1.2,13.7,,,,,,,,0,0,,7,0,0,,,,,,,,,,,,,,,,23,13,0.57,0,0,,0,9,4
Ruben GABRIEL,WC Players,M,Nigeria,1,31,3.9,1.3,1.4,23.1,,,,,,,,,,,,,,0,0,0,2,0,0,,,,,,,,,,17,17,1,0,0,,0,0,0
Okechukwu UCHEBO,WC Players,F,Nigeria,1,24,3.8,1.5,1.4,26.1,,,,,,,,0,0,,0,0,2,,,,,,,,,,,,1,1,0,0,11,7,0.64,0,0,,0,0,0
Panagiotis GLYKOS,WC Players,G,Greece,1,66,3.7,1.1,1,23.2,,,,,,,,0,1,1,3,0,0,0,0,0,0,1,0,,,,,,,,,,23,15,0.65,0,0,,0,5,3
Ricardo ALVAREZ,WC Players,M,Argentina,1,27,3.7,1.3,1.4,30.9,,,,,,,,,,,,,,0,0,0,0,2,0,,,,,,,,,,13,11,0.85,0,0,,0,1,1
Ognjen VRANJES,WC Players,D,Bosnia-Hercegovina,1,29,3.7,1.3,1.1,28,,,,,,,,0,2,0.5,0,0,2,0,0,0,1,2,0,,,,,,,,,,18,13,0.72,4,1,0.25,0,2,1
Alex IBARRA,WC Players,F,Ecuador,1,27,3.6,0.9,1.5,27.1,,,,,,,,0,0,,0,1,1,0,0,0,2,1,0,,,,,,2,2,0,0,8,4,0.5,0,0,,0,1,0
Yoichiro KAKITANI,WC Players,F,Japan,2,25,3.5,1.5,1.1,28.3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,10,5,0.5,0,0,,0,0,0
Thomas VERMAELEN,WC Players,D,Belgium,1,31,3.3,1.3,1.2,23.8,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,23,19,0.83,0,0,,0,6,4
Antonio MAVUBA,WC Players,M,France,1,25,3.3,1.5,1,23.6,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,28,26,0.93,0,0,,0,0,0
Hassan YEBDA,WC Players,M,Algeria,1,19,3.1,0.8,1.5,29.8,,,,,,,,0,0,,0,0,0,0,0,0,1,0,0,,,,,,,,,,11,5,0.45,0,0,,0,0,0
VIEIRINHA,WC Players,F,Portugal,1,21,3.1,1.2,1.1,26.1,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,15,8,0.53,1,0,,0,1,1
Michael BARRANTES,WC Players,M,Costa Rica,2,13,3,1.1,1,28,,,,,,,,,,,,,,0,0,0,2,1,0,,,,,,,,,,16,12,0.75,0,0,,0,0,0
Karim ANSARI FARD,WC Players,F,Iran,1,22,3,0.9,1.2,24.9,,,,,,,,,,,,,,1,0,0,1,0,0,,,,,,,,,,5,5,1,1,0,,0,0,0
Hugo ALMEIDA,WC Players,F,Portugal,1,28,2.9,0.9,1.2,24.5,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,6,4,0.67,0,0,,0,0,0
Mathis BOLLY,WC Players,M,Ivory Coast,1,17,2.9,1.2,0.9,27.2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,5,5,1,0,0,,0,0,0
EDUARDO,WC Players,F,Croatia,1,21,2.8,1.1,0.7,29.1,,,,,,,,0,0,,0,0,0,1,0,0,0,0,0,,,,,,1,1,0,0,9,8,0.89,0,0,,0,0,0
Michael ESSIEN,WC Players,M,Ghana,1,19,2.7,1.1,0.8,26.3,,,,,,,,1,0,,0,0,2,0,0,0,1,0,0,,,,,,1,1,0,0,19,16,0.84,0,0,,0,0,0
Joel VELTMAN,WC Players,D,Netherlands,2,14,2.6,0.9,0.9,27.2,,,,,,,,0,1,1,0,0,0,0,0,0,2,0,0,,,,,,,,,,7,5,0.71,0,0,,0,0,0
Godfrey OBOABONA,WC Players,D,Nigeria,1,29,2.6,1.2,0.7,25.2,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,25,24,0.96,0,0,,0,0,0
Acquah AFRIYIE,WC Players,M,Ghana,1,14,2.5,0.7,1.1,28.5,,,,,,,,0,0,,0,0,1,,,,,,,,,,,,,,,,9,7,0.78,0,0,,0,0,0
Carlos BACCA,WC Players,F,Colombia,1,20,2.4,0.9,0.4,22.3,,,,,,,,,,,,,,0,0,0,2,1,0,,,,,,1,1,0,0,7,6,0.86,0,0,,0,0,0
Jozy ALTIDORE,WC Players,F,USA,1,23,2.4,0.7,0.9,23.5,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,7,3,0.43,0,0,,0,0,0
Alessio CERCI,WC Players,F,Italy,1,21,2.4,1.2,0.6,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0.67,1,1,1,1,0,0
Ejike UZOENYI,WC Players,M,Nigeria,1,15,2.3,0.8,0.9,23.3,,,,,,,,0,0,,0,0,0,,,,,,,,,,,,1,0,1,0,,,,,,,,,
HWANG Seokho,WC Players,D,South Korea,1,17,2.3,0.8,0.9,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,0.89,0,0,,0,0,0
Julian DRAXLER,WC Players,D,Germany,1,14,2.3,1.1,0.6,27.7,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,9,9,1,0,0,,0,0,0
Mario MARTINEZ,WC Players,M,Honduras,1,19,2.2,0.9,0.6,25.2,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,2,2,0,0,14,11,0.79,1,0,,1,1,1
Albert ADOMAH,WC Players,M,Ghana,1,12,2.2,0.9,0.6,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,0.67,0,0,,0,2,0
Julian GREEN,WC Players,M,USA,1,13,2.1,1,0.6,24.1,1,0,1,0,0,0,2,,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,10,8,0.8,2,1,0.5,0,1,1
Michael LANG,WC Players,D,Switzerland,1,13,2.1,0.7,1,25,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,7,4,0.57,1,1,1,0,0,0
Joao ROJAS,WC Players,F,Ecuador,1,13,2.1,0.6,1,25.9,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,6,4,0.67,0,0,,0,0,0
Uche NWOFOR,WC Players,F,Nigeria,2,11,2.1,0.9,0.6,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0.83,0,0,,0,0,0
Konan YA,WC Players,F,Ivory Coast,1,12,2,0.7,0.6,26.7,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,,,,,8,8,1,2,1,0.5,5,0,0
Constant DJAKPA,WC Players,D,Ivory Coast,1,15,2,0.7,0.7,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,0.82,0,0,,0,2,0
Leroy FER,WC Players,M,Netherlands,1,15,2,0.5,0.8,22,1,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,6,6,1,0,0,,0,0,0
Helder POSTIGA,WC Players,F,Portugal,1,16,1.9,0.9,0.5,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,0,0,,0,0,0
Carlos PENA,WC Players,M,Mexico,1,11,1.8,0.4,0.8,26.3,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,,,,,1,1,1,0,0,,0,0,0
Gabriel ACHILIER,WC Players,D,Ecuador,2,9,1.8,0.5,0.7,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge FUCILE,WC Players,D,Uruguay,1,11,1.7,0.4,0.6,24.6,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,2,1,0.5,0,0,,0,1,1
Ismael DIOMANDE,WC Players,M,Ivory Coast,1,12,1.6,0.4,0.5,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0.67,0,0,,0,0,0
Jose ROJAS,WC Players,D,Chile,1,12,1.4,0.3,0.5,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edison MENDEZ,WC Players,M,Ecuador,1,8,1.4,0.4,0.5,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,0.5,0,0,,1,1,1
Hiroshi KIYOTAKE,WC Players,M,Japan,1,5,1.3,0.6,0.5,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0.83,1,0,,0,0,0
Giovanni SIO,WC Players,F,Ivory Coast,1,7,1.2,0.3,0.3,30.2,,,,,,,,0,0,,0,0,0,0,0,0,2,1,1,,,,,,1,1,0,0,4,2,0.5,0,0,,0,0,0
Carlos CARMONA,WC Players,M,Chile,1,2,1.2,0.3,0.5,23.4,,,,,,,,0,0,,0,1,0,,,,,,,,,,,,,,,,3,2,0.67,0,0,,0,0,0
Raul JIMENEZ,WC Players,F,Mexico,1,6,1.1,0.3,0.4,23.8,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,,,,,,
Jean MAKOUN,WC Players,M,Cameroon,1,9,1.1,0.3,0.4,21,,,,,,,,,,,,,,0,0,0,0,2,0,,,,,,,,,,8,6,0.75,0,0,,0,0,0
Reza HAGHIGHI,WC Players,M,Iran,1,2,0.9,0.2,0.5,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0.67,0,0,,0,1,0
HENRIQUE,WC Players,D,Brazil,1,2,0.9,0.1,0.4,19.7,,,,,,,,0,0,,0,1,1,,,,,,,,,,,,,,,,2,2,1,0,0,,0,0,0
Sebastian COATES,WC Players,D,Uruguay,1,2,0.8,0.2,0.3,31.6,,,,,,,,0,0,,0,1,1,,,,,,,,,,,,,,,,3,2,0.67,1,1,1,0,0,0
Rickie LAMBERT,WC Players,F,England,1,3,0.8,0.3,0.2,16.9,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
Terence KONGOLO,WC Players,D,Netherlands,1,1,0.6,0.1,0.2,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUARDO,WC Players,F,Croatia,1,1,0.4,0.1,0.1,12.7,,,,,,,,0,0,,0,0,0,1,0,0,0,0,0,,,,,,1,1,0,0,9,8,0.89,0,0,,0,0,0
Faryd MONDRAGON,WC Players,G,Colombia,1,5,0.4,0.1,0.1,15,,,,,,,,0,0,,1,0,0,,,,,,,,,,,,,,,,2,1,0.5,0,0,,0,2,1
Michel VORM,WC Players,G,Netherlands,1,1,0.1,0,0,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,,0,2,1
Tim KRUL,WC Players,G,Netherlands,1,1,0.1,0,0,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,Doormat,M,FC Doormat,4,226,28.9,,,28.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter,Doormat,M,FC Doormat,1,54,6.6,,,27.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew,Doormat,D,FC Doormat,1,58.5,6.6,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
